date,description,source,source_link,triplets
8 July 1947,"1st Lt. Walter Haut states in an allegedly signed affidavit he was stationed at Roswell Army Air Field as the Public Information Officer and received a call from Col. William Blanchard who said he possessed “flying saucer” debris. The material was from “outer space” and recovered from a crash northwest of Roswell, NM.",www.the-sun.com,https://www.the-sun.com/wp-content/uploads/sites/6/2021/05/NINTCHDBPICT000652591599.jpg?strip=all&w=719,"[('Roswell Army Air Field', 'place served by transport hub', 'Roswell, NM')]"
8 July 1947,"Another affidavit from Arthur R. McQuiddy, the editor of the Roswell Morning Dispatch, claims Lt. Walter Haut delivered a press release to McQuiddy declaring the recovery of a “flying saucer.” McQuiddy claims Roswell Army Air Field next calls him and asks him to change the story to a “weather balloon” instead of a flying saucer.",,,"[('Roswell Morning Dispatch', 'editor', 'Arthur R. McQuiddy')]"
8 July 1947,"Col. Thomas J. DuBose states in a signed affidavit he was stationed at Fort Worth Army Air Field and received a phone call from Gen. Clements McMullen of Strategic Air Command informing him of an object recovered outside Roswell, NM.",,,"[('Fort Worth Army Air Field', 'located in the administrative territorial entity', 'NM')]"
8 July 1947,A signed affidavit from 1st Lt. Robert Shirkey also claims the flight of “crashed flying saucer” debris occurred between Roswell and Fort Worth. He also claims another flight operated by Oliver W. Henderson (see 9 July 1991 entry) flew directly to Wright Field.,,,"[('9 July 1991 entry', 'point in time', '9 July 1991')]"
19 August 1947,USAF Lt. Col. George Garrett tells FBI SAC S.W. Reynolds that he suspects the Navy or Army is testing new technology and some of it is responsible for the flying saucers and other UAP seen.,,,"[('flying saucer', 'subclass of', 'UAP')]"
19 August 1947,"Gen. Stephen Chamberlin and the War Department, however, claim to have no knowledge of USG or USG contractor programs responsible for the UAP.",,,"[{'head': 'War Department', 'type': 'parent organization', 'tail': 'USG'}, ('USG', 'subsidiary', 'War Department')]"
19 September 1947,"A disputed memo from DCI Roscoe Hillenkoetter discusses the need for a clear directive from the President and coordinated scientific examination of “objects” related to the flying saucer problem. The title of the memo is “Military Assessment of the Joint Intelligence Committee,” or MAJIC.",,,"[('Roscoe Hillenkoetter', 'position held', 'DCI')]"
23 September 1947,USAF Lt. Gen. Nathan F. Twining writes that flying discs are “real and not visionary or fictitious.” Twining suggests UAP could be a black budget USG project or from Soviet/Bloc. Twining’s letter to AAF Commanding Gen. George Schulgen states no physical UAP evidence from “crash recovered exhibits” had been found to date.,,,"[{'head': 'AAF Commanding', 'type': 'officeholder', 'tail': 'George Schulgen'}, ('George Schulgen', 'position held', 'AAF Commanding')]"
24 September 1947,DCI Roscoe H. Hillenkoetter allegedly writes a letter to Air Materiel Command designating T-2 and the Air Intelligence branch of the Navy Bureau of Aeronautics as “national assets.” Hillenkoetter states he does not plan to duplicate this within the CIA.,,,"[{'head': 'Air Intelligence', 'type': 'parent organization', 'tail': 'Navy Bureau of Aeronautics'}, ('Navy Bureau of Aeronautics', 'subsidiary', 'Air Intelligence')]"
,"**October 1947** — Pilot Selman E. Graves states he witnessed the recovery of a crashed craft and two humanoid “bodies” in Paradise Valley, AZ. Graves states the federal government sponsored a state government project that relocated a nearby road and bulldozed the land to cover up the crash site.",,,"[('Selman E. Graves', 'date of death', 'October 1947')]"
,**October 1947** — An “unknown missile” allegedly crashes this month in Mexico near Guadeloupe. The State Department is said to begin negotiations with the Mexican government to obtain the crashed object.,,,"[('Guadeloupe', 'shares border with', 'Mexico')]"
16 December 1947,"Army Lt. Col. Harry H. Pretty writes to the Dep. Dir. of Intelligence (Deputy G-2, U.S. Army) in Berlin that Nazi aircraft designers Reimar Horten and Walter Horten were located in Gottingen, Germany, and although they were responsible for the Horten Ho 299 flying wing design, an investigation determined no flying saucer design “ever existed nor was projected by any of the German air research institutions.”",,,"[('Horten Ho 299', 'designed by', 'Walter Horten')]"
,"**1948** — An anonymous retired Col. states a UAP crash occurred this year near Laredo, TX. he states when he arrived it was under a canopy and witnesses were sworn to secrecy.",,,"[('Laredo', 'located in the administrative territorial entity', 'TX')]"
31 January 1948,"The Research and Development Board, a key recipient of UAP data at the time (see 23 September 1947) attempts to debunk flying saucers as a “mirage” the result of “mass self-hypnosis.” The RDB statement circulates in newspapers.",,,"[('23 September 1947', 'point in time', '23 September 1947')]"
,"**1948** — President Harry S. Truman asks his USAF aide, Col. Robert B. Landry, to give him quarterly updates on UAP research but to do so verbally. No records are kept.",,,"[('Harry S. Truman', 'position held', 'President')]"
,**1948** — A source “VA” speaks of a UAP crash at White Sands Proving Ground this year where he was cleared to see a Top Secret message of a saucer shaped craft with one portal window blown out that caused suffocation of five occupants. The bodies had turned blue and were 4 feet tall with oversized human heads. Private property was allegedly purchased to facilitate transport of the craft covertly to the base.,,,"[('UAP crash', 'location', 'White Sands Proving Ground')]"
