node,real_value,x,y,cluster,type
zero point energy,,9.829242,8.751969,-1,concept
transdimensional systems,,9.631197,8.792861,-1,concept
top secret,,9.810395,8.296815,-1,concept
time travel,,9.252036,8.607799,-1,concept
synthetic quantum environment,,9.757255,8.720516,-1,concept
sixth sense,,9.236884,9.255936,-1,concept
sentry eagle,,10.178619,7.3876634,-1,concept
satanic ritual,,8.993731,8.720489,-1,concept
public domain,,10.233043,6.128187,-1,concept
public deception,,9.1591215,8.892625,-1,concept
private corporation,,12.398927,6.2770476,-1,concept
optical deception,,9.150453,8.889871,-1,concept
nuclear test,,11.967428,9.313993,-1,concept
microwave,,9.989256,8.032899,-1,concept
merint,,11.112795,4.447178,-1,concept
masint,,11.099999,4.4532695,-1,concept
intuitive decision making,,9.205582,9.273239,-1,concept
intelligence,,9.50157,9.5780325,-1,concept
hypothesis,,8.905155,8.723572,-1,concept
hypnosis,,8.945561,8.7625265,-1,concept
hypertech concepts,,10.875597,8.80408,-1,concept
human sacrifice,,8.895048,8.645072,-1,concept
general accounting office,,10.81865,10.479485,-1,concept
elint,,10.880719,4.333002,-1,concept
egg,,9.936918,6.0640187,-1,concept
disinformation,,9.366397,9.091781,-1,concept
crash site,,8.502143,7.84565,-1,concept
b2 spirit,,9.13185,6.0820785,-1,concept
antigravity news and space drive technology,,10.795012,8.665905,-1,concept
alpha red,,9.844505,7.1328974,-1,concept
3d reality,,9.22175,8.767732,-1,concept
st clair triangle incident,,8.246776,7.890392,-1,event
phoenix lights incident,,8.309018,7.9154363,-1,event
crash of an experimental aircraft in 1983,,8.667025,7.9510636,-1,event
white house army signaling agency,,10.390951,9.8229885,-1,group
research and development board,,12.228971,9.151605,-1,group
oil companies,,13.021243,5.928349,-1,group
obama administration,,11.082692,9.853811,-1,group
norad,,12.499321,7.932652,-1,group
hillary clinton campaign,,10.581252,0.31128168,-1,group
foreign technology division,,10.986981,9.649423,-1,group
defense finance and accounting service,,10.403505,9.872109,-1,group
atp group,,9.430917,6.738203,-1,group
us army,,10.236634,9.910247,-1,organization
trw,,11.014939,5.0774345,-1,organization
tenneco,,10.960935,5.033211,-1,organization
sri international,sri international,11.447538,5.422404,-1,organization
