node,n_tokens,embedding,x,y,cluster
roswell army air field,6,"[-0.02270942 -0.01616789 -0.0068686  ...  0.02483025  0.00450332
 -0.02177295]",14.254712,6.5060344,-1
us,1,"[ 0.01480421 -0.02596472 -0.00111841 ... -0.00689941  0.00683531
 -0.00644057]",10.402611,6.016804,-1
ernst steinhoff,5,"[-0.00664034 -0.01499631 -0.00225389 ... -0.0014388   0.01752531
 -0.01670509]",10.166992,1.9334333,-1
renaissance technologies llc,5,"[-0.0197464  -0.01000886 -0.01822397 ... -0.0150359  -0.00067878
 -0.00890849]",12.475938,8.34683,-1
roswell nm,4,"[-0.0111557   0.00506625  0.00412121 ... -0.00236614 -0.00175773
 -0.02687315]",14.372659,6.421566,-1
raymond concrete pile company,5,"[-0.02598896 -0.00807129 -0.00477147 ... -0.01776595 -0.01231176
 -0.02266638]",10.10853,1.3865774,-1
president,2,"[-0.02350514 -0.02045647 -0.01045919 ... -0.02700254 -0.00077413
 -0.01073635]",11.660394,4.6244216,-1
calberkeley,3,"[-1.64399607e-05 -2.07150672e-02  1.29680838e-02 ... -2.27611754e-02
 -5.87373786e-03 -1.78787410e-02]",13.673461,3.9371374,-1
egg,1,"[-0.00345622 -0.01978854 -0.01188667 ... -0.0008793   0.0092098
 -0.01938192]",9.936918,6.0640187,-1
dick damato,4,"[-0.02097475 -0.01043998 -0.01005407 ... -0.01715624 -0.02154347
 -0.01712916]",10.58019,2.970661,-1
san antonio tx,4,"[ 0.00016004  0.00369895 -0.02414991 ... -0.01414829 -0.00958144
 -0.02150486]",13.5785265,4.658468,-1
warton plant,3,"[-0.01601223 -0.02651395 -0.01947434 ...  0.00017277 -0.01860881
 -0.02433571]",9.846718,3.4873712,-1
bae systems,3,"[-0.02267228 -0.01229322 -0.00464718 ... -0.01904245 -0.00060172
  0.00057026]",12.671187,7.276999,-1
darpa,2,"[-0.02185889 -0.00803248 -0.00539195 ... -0.00893345 -0.02144306
 -0.00959878]",10.092659,6.4765916,-1
naval research laboratory,4,"[-0.02980052  0.00625576 -0.00644616 ... -0.0097004   0.00303787
 -0.00260858]",12.095935,8.985661,-1
teller,2,"[-0.01797226 -0.02073194  0.01710729 ... -0.0017248   0.00851245
 -0.0242193 ]",10.777842,3.806222,-1
gao,2,"[-0.00367718  0.00779112  0.00222956 ...  0.00141593  0.00186853
 -0.0092    ]",9.438236,5.839207,-1
merint,2,"[-0.01154357 -0.02299191  0.00390454 ... -0.01593108 -0.01378834
 -0.0348824 ]",11.112795,4.447178,-1
nro,2,"[-0.00196253 -0.01272432  0.00731488 ...  0.00482782  0.00404281
 -0.03148609]",10.746899,5.3137083,-1
aaro,2,"[-0.01388725 -0.01782916 -0.00442943 ...  0.00498311 -0.0024428
 -0.00931156]",10.650832,5.6572313,-1
lue eilzondo,6,"[-0.01537176 -0.00403632  0.00846642 ...  0.00947902  0.00833282
 -0.01441542]",12.84704,4.1541643,-1
aaf,2,"[-0.02444942 -0.00488988 -0.00704879 ...  0.00753914  0.01513276
 -0.00658568]",8.871925,6.513704,-1
edward lansdale,5,"[-0.02017121  0.01242158  0.00279    ... -0.00176152 -0.00368766
 -0.01777285]",10.78368,2.0512738,-1
john ramirez,3,"[-0.02223312  0.00546005 -0.00873879 ... -0.01517434 -0.02352023
  0.00404423]",12.238309,3.1469903,-1
flight deck,2,"[-0.01521611 -0.01196627 -0.03174584 ... -0.00038164 -0.01081001
 -0.01932118]",12.100979,7.4488783,-1
masint,2,"[-0.01351376 -0.02060306 -0.01112033 ... -0.00753719 -0.00302677
 -0.02519396]",11.099999,4.4532695,-1
jim semivan,4,"[-0.01184127 -0.01122686  0.00554361 ... -0.01206469 -0.01062642
 -0.00761723]",12.355193,2.8609304,-1
franc milburn,4,"[-0.01556687  0.00837127 -0.0043202  ...  0.01617595 -0.01526942
 -0.00877496]",11.772183,0.89426047,-1
