date,description,sources,comments
8 July 1947,"1st Lt. Walter Haut states in an allegedly signed affidavit he was stationed at Roswell Army Air Field as the Public Information Officer and received a call from Col. William Blanchard who said he possessed “flying saucer” debris. The material was from “outer space” and recovered from a crash northwest of Roswell, NM.","[{'source': 'www.the-sun.com', 'source_link': 'https://www.the-sun.com/wp-content/uploads/sites/6/2021/05/NINTCHDBPICT000652591599.jpg?strip=all&w=719'}]",[]
8 July 1947,"Another affidavit from Arthur R. McQuiddy, the editor of the Roswell Morning Dispatch, claims Lt. Walter Haut delivered a press release to McQuiddy declaring the recovery of a “flying saucer.” McQuiddy claims Roswell Army Air Field next calls him and asks him to change the story to a “weather balloon” instead of a flying saucer.",[],[]
8 July 1947,"Col. Thomas J. DuBose states in a signed affidavit he was stationed at Fort Worth Army Air Field and received a phone call from Gen. Clements McMullen of Strategic Air Command informing him of an object recovered outside Roswell, NM.",[],[]
8 July 1947,A signed affidavit from 1st Lt. Robert Shirkey also claims the flight of “crashed flying saucer” debris occurred between Roswell and Fort Worth. He also claims another flight operated by Oliver W. Henderson (see 9 July 1991 entry) flew directly to Wright Field.,[],[]
19 August 1947,USAF Lt. Col. George Garrett tells FBI SAC S.W. Reynolds that he suspects the Navy or Army is testing new technology and some of it is responsible for the flying saucers and other UAP seen.,[],[]
19 August 1947,"Gen. Stephen Chamberlin and the War Department, however, claim to have no knowledge of USG or USG contractor programs responsible for the UAP.",[],[]
19 September 1947,"A disputed memo from DCI Roscoe Hillenkoetter discusses the need for a clear directive from the President and coordinated scientific examination of “objects” related to the flying saucer problem. The title of the memo is “Military Assessment of the Joint Intelligence Committee,” or MAJIC.",[],[]
23 September 1947,USAF Lt. Gen. Nathan F. Twining writes that flying discs are “real and not visionary or fictitious.” Twining suggests UAP could be a black budget USG project or from Soviet/Bloc. Twining’s letter to AAF Commanding Gen. George Schulgen states no physical UAP evidence from “crash recovered exhibits” had been found to date.,[],"['Twining’s letter also led to the creation of **Project Sign**, whose sighting reports were required to be sent to the Army and Navy Research and Development Board, the USAF Scientific Advisory Group, the Atomic Energy Commission, the National Advisory Committee for Aeronautics, **Project Rand**, and the **Nuclear Energy for the Propulsion of Aircraft** Project at Oak Ridge.']"
24 September 1947,DCI Roscoe H. Hillenkoetter allegedly writes a letter to Air Materiel Command designating T-2 and the Air Intelligence branch of the Navy Bureau of Aeronautics as “national assets.” Hillenkoetter states he does not plan to duplicate this within the CIA.,[],[]
October 1947,"Pilot Selman E. Graves states he witnessed the recovery of a crashed craft and two humanoid “bodies” in Paradise Valley, AZ. Graves states the federal government sponsored a state government project that relocated a nearby road and bulldozed the land to cover up the crash site.",[],[]
